Titulo_original;Titulo_encontrado;Fuente;Anio;Sinopsis;Poster_URL;Generos;Desarrolladores;Editores;Puntuacion_Usuario;Metascore;URL_Slug;Backdrop_URL;Requisitos_Minimos;Requisitos_Recomendados;Recomendaciones;Trailer_URL;Peso_GB
Red Dead Redemption 2 +Update 1436.28;Red Dead Redemption 2;RAWG;2018.0;América, 1899. El fin de la era del Salvaje Oeste. Arthur Morgan y la banda de Van der Linde son forajidos en fuga. Mientras los agentes federales los cercan, la banda debe elegir entre sus ideales y su supervivencia.;https://media.rawg.io/media/games/511/5118aff5091cb3efec399c808f8c598f.jpg;Action;Rockstar Games;Rockstar Games;4.59;96.0;red-dead-redemption-2;https://media.rawg.io/media/games/511/5118aff5091cb3efec399c808f8c598f.jpg;Minimum: Requires a 64-bit processor and operating system OS: Windows 7 - Service Pack 1 (6.1.7601) Processor: Intel® Core™ i5-2500K / AMD FX-6300 Memory: 8 GB RAM Graphics: Nvidia GeForce GTX 770 2GB / AMD Radeon R9 280 3GB Network: Broadband Internet connection Storage: 150 GB available space Sound Card: Direct X Compatible;Recommended: Requires a 64-bit processor and operating system OS: Windows 10 - April 2018 Update (v1803) Processor: Intel® Core™ i7-4770K / AMD Ryzen 5 1500X Memory: 12 GB RAM Graphics: Nvidia GeForce GTX 1060 6GB / AMD Radeon RX 480 4GB Network: Broadband Internet connection Storage: 150 GB available space Sound Card: Direct X Compatible;;;110
Remnant II v453.438;Remnant 2;RAWG;2023.0;Remnant II enfrenta a los supervivientes de la humanidad contra nuevas y mortales criaturas y jefes similares a dioses. Lucha por mundos generados proceduralmente con hasta tres jugadores, combinando variados arquetipos y poderosas armas.;https://media.rawg.io/media/games/347/3478db948d4f25d40da7c22c0fd1039c.jpg;Action, Shooter, Arcade;Gunfire Games;Gearbox Publishing;3.74;;remnant-2;https://media.rawg.io/media/games/347/3478db948d4f25d40da7c22c0fd1039c.jpg;;;;;81
Resident Evil 2 Remake v13.06.22;Resident Evil 2;RAWG;2019.0;Resident Evil 2 es el remake completo del clásico de 1998. Leon S. Kennedy y Claire Redfield llegan a una Raccoon City invadida por zombis y deben sobrevivir al Departamento de Policía y al implacable Tirano.;https://media.rawg.io/media/games/053/053fc543bf488349610f1ae2d0c1b51b.jpg;Action, Adventure;Capcom;Capcom;4.5;91.0;resident-evil-2-2019;https://media.rawg.io/media/games/053/053fc543bf488349610f1ae2d0c1b51b.jpg;OS: WINDOWS® 7, 8, 8.1, 10 (64-BIT Required) Processor: Intel® Core™ i5-4460, 2.70GHz or AMD FX™-6300 or better Memory: 8 GB RAM Graphics: NVIDIA® GeForce® GTX 760 or AMD Radeon™ R7 260x with 2GB Video RAM DirectX: Version 11;OS: WINDOWS® 7, 8, 8.1, 10 (64-BIT Required) Processor: Intel® Core™ i7-3770 or AMD FX™-9590 or better Memory: 8 GB RAM Graphics: NVIDIA® GeForce® GTX 1060 or AMD Radeon™ RX 480 with 3GB VRAM DirectX: Version 11;;;18
Resident Evil 3;Resident Evil 3;RAWG;2020.0;Volver a Raccoon City no será un paseo por el parque, por supuesto. La ciudad está sumida en un brote epidémico: muertos vivientes deambulan por las calles y la jungla urbana se ha convertido en un caos de coches volcados y edificios en ruinas. Un panorama pintoresco, ¿verdad? Es en este escenario donde Jill Valentine se prepara para escapar, aunque hay un pequeño matiz en la cronología para aquellos que no conozcan el juego original. Si jugaste a Resident Evil 2 a principios de este año, quizá sepas que Leon y Claire llegaron a la ciudad el 29 de septiembre. La historia de Jill, sin embargo, comienza unos días antes. Como miembro experta de S.T.A.R.S. y superviviente del incidente de las montañas Arklay (donde transcurrió el Resident Evil original), Jill ya conoce los horrores que le aguardan.;https://media.rawg.io/media/games/a4b/a4bb55f42fe837ae7bf1307e7b41cc85.jpg;Action, Adventure;Capcom, GOG;Capcom;4.04;80;resident-evil-3;https://media.rawg.io/media/games/a4b/a4bb55f42fe837ae7bf1307e7b41cc85.jpg;Minimum: Requires a 64-bit processor and operating system OS: WINDOWS® 7, 8.1, 10 (64-BIT Required) Processor: Intel® Core™ i5-4460 or AMD FX™-6300 or better Memory: 8 GB RAM Graphics: NVIDIA® GeForce® GTX 760 or AMD Radeon™ R7 260x with 2GB Video RAM DirectX: Version 11 Network: Broadband Internet connection Storage: 45 GB available space Additional Notes: Anticipated performance at these specifications is 1080p/30FPS for Resident Evil 3 and 720p/30FPS for Resident Evil Resistance. If you don't;Recommended: Requires a 64-bit processor and operating system OS: WINDOWS® 10 (64-BIT Required) Processor: Intel® Core™ i7-3770 or AMD FX™-9590 or better Memory: 8 GB RAM Graphics: NVIDIA® GeForce® GTX 1060 or AMD Radeon™ RX 480 with 3GB VRAM DirectX: Version 12 Network: Broadband Internet connection Storage: 45 GB available space Additional Notes: Anticipated performance at these specifications is 1080p/60FPS. An internet connection is required for product activation. In addition, an internet c;;;20
Resident Evil 4 (2005);Resident Evil 4 (2005);RAWG;2005.0;Resident Evil 4 es un videojuego de disparos en tercera persona desarrollado por Capcom Production Studio 4 y publicado por Capcom. Como sexta entrega principal de la saga Resident Evil, se lanzó originalmente para GameCube en 2005. Los jugadores controlan a Leon S. Kennedy, un agente especial del gobierno de los Estados Unidos enviado a rescatar a Ashley Graham —la hija del presidente estadounidense—, quien ha sido secuestrada por una secta. En una zona rural de Europa, Leon lucha contra hordas de aldeanos infectados por un parásito que controla la mente y se reencuentra con la espía Ada Wong.;https://media.rawg.io/media/games/fee/fee0100afd87b52bfbd33e26689fa26c.jpg;Action, Shooter;Capcom;Ubisoft Entertainment, Capcom, THQ, 1C-SoftClub, Nintendo Australia, Red Ant Enterprises;4.4;83;resident-evil-4;https://media.rawg.io/media/games/fee/fee0100afd87b52bfbd33e26689fa26c.jpg;;;;;7
Resident Evil 4 Remake v24.04.2023;Resident Evil 4;RAWG;2023.0;Sobrevivir es solo el comienzo. El remake de Resident Evil 4 manda a Leon S. Kennedy a Europa rural en busca de la hija secuestrada del Presidente, enfrentando al culto Los Illuminados y a su grotesco parásito Plagas.;https://media.rawg.io/media/games/51a/51a404b9918a0b19fc704a3ca248c69f.jpg;Action, Adventure;Capcom;Capcom;4.58;;resident-evil-4-2023;https://media.rawg.io/media/games/51a/51a404b9918a0b19fc704a3ca248c69f.jpg;Mínimo: Requiere un procesador y un sistema operativo de 64 bits SO: Windows 10 (64 bit) Procesador: AMD Ryzen 3 1200 / Intel Core i5-7500 Memoria: 8 GB de RAM Gráficos: AMD Radeon RX 560 with 4GB VRAM / NVIDIA GeForce GTX 1050 Ti with 4GB VRAM DirectX: Versión 12 Red: Conexión de banda ancha a Internet Notas adicionales: Estimated performance (when set to Prioritize Performance): 1080p/45fps. ・Framerate might drop in graphics-intensive scenes. ・AMD Radeon RX 6700 XT or NVIDIA GeForce RTX 2060 r;Recomendado: Requiere un procesador y un sistema operativo de 64 bits SO: Windows 10 (64 bit)/Windows 11 (64 bit) Procesador: AMD Ryzen 5 3600 / Intel Core i7 8700 Memoria: 16 GB de RAM Gráficos: AMD Radeon RX 5700 / NVIDIA GeForce GTX 1070 DirectX: Versión 12 Red: Conexión de banda ancha a Internet Notas adicionales: Rendimiento estimado: 1080p/60 fps ・La tasa de imágenes será menor en escenas de gráficos intensos. ・AMD Radeon RX 6700 XT o NVIDIA GeForce RTX 2070 son necesarias para activar el ;;;51
Resident Evil 6;Resident Evil 6;RAWG;2012.0;Bioterrorismo... Unos terroristas infectan al presidente de los Estados Unidos con un virus que lo convierte en un zombi agresivo, y uno de los héroes del juego deberá acabar con él. Detrás de los terroristas se encuentra una organización mafiosa que busca ocultar la verdad sobre la imposibilidad de controlar las armas biológicas que ha desarrollado, las cuales transforman a las personas en zombis. Los bioterroristas se enfrentan a una unidad de fuerzas especiales, a la que pertenecen otros dos personajes jugables. La acción del juego oscila constantemente entre una vendetta personal y una catástrofe de escala mundial; el presidente zombi da paso a ciudades enteras plagadas de infectados. Zombis, mutantes, bioterroristas, fuerzas especiales y mercenarios: todos ellos luchan y tratan de sobrevivir en escenarios que van desde zonas abiertas hasta bases secretas. En total, es posible controlar a siete personajes, incluida la mujer que lidera a los terroristas. El juego cuenta con cuatro campañas narrativas: tras completar una línea argumental, se puede elegir otra perspectiva para vivir los acontecimientos desde un punto de vista diferente. Hay numerosos enemigos, pero estos dejan caer munición al morir; cuanto más peligroso es el enemigo, mayor es la cantidad de munición que suelta. En el combate cuerpo a cuerpo, resultan de gran ayuda los diversos ataques combinados. Se estima que completar el juego requiere unas 25 horas de pura acción.;https://media.rawg.io/media/games/f6f/f6f39c5b56413f7f4513b25989a1b747.jpg;Action, Shooter;Capcom;Capcom;3.43;;;;;;8
Resident Evil 7 biohazard Gold Edition v13.06.2022;Resident Evil 7: Biohazard;RAWG;2017.0;Resident Evil 7: Biohazard es la séptima entrega principal de la saga, regresando a las raíces del survival horror con perspectiva en primera persona. Ethan Winters busca a su esposa desaparecida en una decrépita plantación de Luisiana.;https://media.rawg.io/media/games/cee/cee577e2097a59b77193fe2bce94667d.jpg;Action, Shooter, Adventure;Capcom, Capcom U.S.A;Capcom;4.33;85.0;resident-evil-7-biohazard;https://media.rawg.io/media/games/cee/cee577e2097a59b77193fe2bce94667d.jpg;;;;;30
Resident Evil Village Deluxe Edition;Resident Evil: Village;RAWG;2021.0;Vive el survival horror como nunca antes. Ethan Winters es arrastrado a un nevado pueblo europeo, cazado por criaturas sobrenaturales y la misteriosa Madre Miranda.;https://media.rawg.io/media/games/6cc/6cc23249972a427f697a3d10eb57a820.jpg;Action, Adventure;Capcom;Capcom;4.39;83.0;resident-evil-village;https://media.rawg.io/media/games/6cc/6cc23249972a427f697a3d10eb57a820.jpg;Minimum: Requires a 64-bit processor and operating system OS: Windows 10 (64 bit) Processor: AMD Ryzen 3 1200 ／ Intel Core i5-7500 Memory: 8 GB RAM Graphics: AMD Radeon RX 560 with 4GB VRAM ／ NVIDIA GeForce GTX 1050 Ti with 4GB VRAM DirectX: Version 12 Additional Notes: Estimated performance (when set to Prioritize Performance): 1080p/60fps. ・Framerate might drop in graphics-intensive scenes. ・AMD Radeon RX 6700 XT or NVIDIA GeForce RTX 2060 required to support ray tracing. System requirements s;Recommended: Requires a 64-bit processor and operating system OS: Windows 10 (64 bit) Processor: AMD Ryzen 5 3600 ／ Intel Core i7 8700 Memory: 16 GB RAM Graphics: AMD Radeon RX 5700 ／ NVIDIA GeForce GTX 1070 DirectX: Version 12 Additional Notes: Estimated performance: 1080p/60fps ・Framerate might drop in graphics-intensive scenes. ・AMD Radeon RX 6700 XT or NVIDIA GeForce RTX 2070 required to support ray tracing. System requirements subject to change during game development.;;;24
RimWorld v1.5.4297;RimWorld;RAWG;2016.0;RimWorld es una simulación de colonia de ciencia ficción impulsada por un inteligente narrador IA. Inspirado en Dwarf Fortress y Firefly, narra historias de supervivientes de naves espaciales estrelladas gestionando una colonia en el borde del espacio conocido.;https://media.rawg.io/media/screenshots/4d8/4d85fbe90066fdbef295a618640c4a82.jpg;Strategy, Simulation, Indie;Ludeon Studios;Ludeon Studios;4.36;87.0;rimworld;https://media.rawg.io/media/screenshots/4d8/4d85fbe90066fdbef295a618640c4a82.jpg;Minimum: OS: Windows XP Processor: Core 2 Duo Memory: 4 GB RAM Graphics: Intel HD Graphics 3000 with 384 MB of RAM Storage: 500 MB available space;;;;1
Rise of the Tomb Raider 20 Year Celebration;Rise of the Tomb Raider: 20 Year Celebration;RAWG;2016.0;En Rise of the Tomb Raider, Lara Croft se convierte en algo más que una superviviente mientras emprende su primera expedición real de saqueo de tumbas, descubriendo una ciudad oculta y la promesa de la inmortalidad mientras combate a la despiadada organización Trinity.;https://media.rawg.io/media/games/451/451e5c6d5420d4862b9de70441cdc11a.jpg;Action, Adventure;Crystal Dynamics, Eidos Montreal, Nixxes;Square Enix, Microsoft Studios, Crystal Dynamics;4.17;88.0;rise-of-the-tomb-raider-20-year-celebration;https://media.rawg.io/media/games/451/451e5c6d5420d4862b9de70441cdc11a.jpg;;;;;23
RoboCop Rogue City;RoboCop: Rogue City;RAWG;2023.0;Conviértete en el icónico héroe mitad hombre, mitad máquina, todo policía mientras intentas llevar la justicia a las calles de un Detroit plagado de crimen, dispensando brutal justicia en este juego de acción en primera persona.;https://media.rawg.io/media/games/2ae/2ae4150474a27f90595c9092917ab2d3.jpg;Action, Adventure;Teyon;Nacon;3.93;;robocop-rogue-city;https://media.rawg.io/media/games/2ae/2ae4150474a27f90595c9092917ab2d3.jpg;Minimum: Requires a 64-bit processor and operating system OS: Windows 10 Processor: Intel Core i7-4790 or Ryzen 5 2600 Memory: 16 GB RAM Graphics: Intel Arc A380 or NVIDIA GeForce GTX 1650, 4 GB or AMD Radeon RX 480, 4 GB Storage: 51 GB available space Additional Notes: Requires a 64-bit processor and operating system;Recommended: Requires a 64-bit processor and operating system OS: Windows 10 Processor: Intel Core i7-10700K or AMD Ryzen 7 3800XT Memory: 16 GB RAM Graphics: Intel Arc A770 or NVIDIA GeForce RTX 3070, 8 GB or AMD Radeon RX 6800, 16 GB Storage: 51 GB available space Additional Notes: Requires a 64-bit processor and operating system;;;37
Saints Row 2;Saints Row 2;RAWG;2008.0;Saints Row 2 aporta verdadera libertad al juego en mundo abierto. Como el resucitado líder de los 3rd Street Saints, recupera Stilwater de las manos de pandillas rivales y enemigos corporativos con una ridícula personalización y caos descontrolado.;https://media.rawg.io/media/games/10d/10d19e52e5e8415d16a4d344fe711874.jpg;Action, Shooter;Volition, THQ;Deep Silver, Koch Media;3.57;78.0;saints-row-2;https://media.rawg.io/media/games/10d/10d19e52e5e8415d16a4d344fe711874.jpg;Minimum: Supported OS:Windows XP or Vista. Processor: 2.0 GHz Intel Dual-Core Pentium IV or equivalent or AMD Dual-Core Athlon XP or equivalent Memory: 1 GB system RAM Graphics: 128MB 3D graphics card with Shader Model 3.0 support (i.e. 7600 NVidia card or better, ATI X1300 card or better) DirectX Version: DirectX 9.0c Sound: DirectX 9.0c compatible 16-bit sound card Hard Drive: 15 GB of Hard Drive Space Display: DirectX compatible display capable of 640x480 in 16-bit color;Recommended: Supported OS:Windows XP or Vista. Processor: 3.2 GHz Intel Dual-Core Pentium IV or equivalent or AMD Dual-Core Athlon XP or equivalent Memory: 2 GB system RAM Graphics: 256MB 3D graphics card with Shader Model 3.0 support (i.e. 8800 NVidia card or better, ATI HD3850 card or better) DirectX Version: DirectX 9.0c Sound: DirectX 9.0c compatible 16-bit sound card Hard Drive: 15 GB of Hard Drive Space Display: DirectX compatible display capable of 640x480 in 16-bit color;;;4
Saints Row IV - Re-Elected;Saints Row IV: Re-Elected;RAWG;2013.0;Tras salvar al mundo de un ataque terrorista, el líder de los 3rd Street Saints se convierte en Presidente de los Estados Unidos, solo para enfrentarse a una invasión alienígena y superpoderes que doblan la simulación.;https://media.rawg.io/media/games/b4e/b4ec8e98127914d0a38051f641dcf2f1.jpg;Action, Shooter;Deep Silver, Volition;Deep Silver, Koch Media;3.73;73.0;saints-row-iv-re-elected;https://media.rawg.io/media/games/b4e/b4ec8e98127914d0a38051f641dcf2f1.jpg;;;;;12
Saints Row The Third The Full Package;Saints Row: The Third - The Full Package;RAWG;2012.0;Bienvenido a Steelport. Los Saints Row en su versión más disparatada. Lucha contra la organización criminal Syndicate usando el arsenal más absurdo de armas y vehículos jamás reunido, con todo el DLC incluido.;https://media.rawg.io/media/games/09b/09ba5a476a877b957c717aad1cf709fd.jpg;Action, Adventure;Volition, THQ;Deep Silver, Koch Media;3.95;;saints-row-the-third-the-full-package;https://media.rawg.io/media/games/09b/09ba5a476a877b957c717aad1cf709fd.jpg;Windows XP / Vista / 7 / 8 / 10Processor: 2GHz Dual Core Processor (Intel® Core 2 Duo or AMD Athlon™ X2) or higher Memory: 2GB System RAM or more Graphics: 320MB Video RAM GPU w/ Shader Model 3.0 support. NVIDIA® GeForce® 8800 series or better. ATI Radeon™ HD3800 series or better DirectX®: 9.0c Hard Drive: 10GB Sound: 100% DirectX® 9.0C compliant sound card or equivalent onboard sound Co-Op Play:NVIDIA® GeForce® 8800 cards require 640MB of Video RAM. ATI Radeon™ HD3800 cards require 1GB of Video;Windows 7 or above Processor: Any Quad Core Processor (Intel® Core i5 or AMD Phenom™ II X4) or 3.0+ Dual Core CPU Memory: 4GB System RAM or more Graphics: 1GB Video RAM GPU w/ Shader Model 4.0 support. NVIDIA® GeForce® GTX 400 series or better. ATI Radeon™ HD5000 series or better DirectX®: DirectX® 11 Hard Drive: 10 GB Sound: 100% DirectX® 9.0C compliant sound card or equivalent onboard sound;;;5
Saints Row V Reboot v1.1.2.4376604;Saints Row: The Third;RAWG;2011.0;Bienvenido a Steelport, una ciudad desgarrada por tres violentas pandillas. Como los mundialmente famosos 3rd Street Saints, lucha contra el imperio criminal Syndicate con armas completamente ridículas y una historia igual de ridícula.;https://media.rawg.io/media/games/d69/d69810315bd7e226ea2d21f9156af629.jpg;Action, Adventure;Volition;THQ;3.95;84.0;saints-row-the-third;https://media.rawg.io/media/games/d69/d69810315bd7e226ea2d21f9156af629.jpg;Minimum: OS: Windows® XP Processor: 2GHz Dual Core Processor (Intel® Core 2 Duo or AMD Athlon™ X2) or higher Memory: 2GB System RAM or more Graphics: 320MB Video RAM GPU w/ Shader Model 3.0 support. NVIDIA® GeForce® 8800 series or better. ATI Radeon™ HD3800 series or better DirectX®: 9.0c Hard Drive: 10GB Sound: 100% DirectX® 9.0C compliant sound card or equivalent onboard sound Co-Op Play:NVIDIA® GeForce® 8800 cards require 640MB of Video RAM. ATI Radeon™ HD3800 cards require 1GB of Video RAM;Recommended: OS: Microsoft® Windows® 7 Processor: Any Quad Core Processor (Intel® Core i5 or AMD Phenom™ II X4) or 3.0+ Dual Core CPU Memory: 4GB System RAM or more Graphics: 1GB Video RAM GPU w/ Shader Model 4.0 support. NVIDIA® GeForce® GTX 400 series or better. ATI Radeon™ HD5000 series or better DirectX®: DirectX® 11 Hard Drive: 10 GB Sound: 100% DirectX® 9.0C compliant sound card or equivalent onboard sound;;;28
Samurai Warriors 2;SAMURAI WARRIORS 4-II;RAWG;2015.0;La última entrega lanzada para el 10º aniversario de la serie SAMURAI WARRIORS. Controla a guerreros individuales en campañas de historia personal ambientadas en el turbulento período Sengoku de la historia japonesa.;https://media.rawg.io/media/games/745/745d4e9df08ff87d034759966063ee42.jpg;Action;Koei Tecmo, KOEI TECMO America;Koei Tecmo Games;3.63;;samurai-warriors-4-ii;https://media.rawg.io/media/games/745/745d4e9df08ff87d034759966063ee42.jpg;Minimum: OS: Windows® Vista, Windows® 7, Windows® 8, Windows® 8.1 Processor: Core2 DUO 2.4GHz or better Memory: 1 GB RAM Graphics: 640*480 pixel over, High Color DirectX: Version 9.0c Network: Broadband Internet connection Storage: 11 GB available space Sound Card: DirectX 9.0c over;Recommended: OS: Windows® Vista, Windows® 7, Windows® 8, Windows® 8.1 Processor: Core i7 860 better Memory: 2 GB RAM Graphics: 1280*720 pixel over, True Color DirectX: Version 9.0c Network: Broadband Internet connection Storage: 11 GB available space Sound Card: DirectX 9.0c over;;;3
Schedule I v0.3.4f8;Schedule I;RAWG;2025.0;De camello a capo: fabrica y distribuye una variedad de drogas, construye una red criminal y dirige tu imperio ilegal sin que te pillen.;https://media.rawg.io/media/screenshots/fe2/fe21b112ec5c6d10d3690472f37c63ca.jpg;Action, Strategy, Simulation, Indie;TVGS;TVGS;3.74;;schedule-i;https://media.rawg.io/media/screenshots/fe2/fe21b112ec5c6d10d3690472f37c63ca.jpg;Minimum: Requires a 64-bit processor and operating system OS: Windows 10 (64-bit) Processor: 3GHz 4-Core or similar Memory: 8 GB RAM Graphics: GeForce GTX 1060 or Radeon RX 580 Storage: 8 GB available space;Recommended: Requires a 64-bit processor and operating system OS: Windows 10 (64-bit) Processor: 3.5GHz 6-Core or similar Memory: 16 GB RAM Graphics: GeForce RTX 3060 or Radeon RX 6700 Storage: 8 GB available space;;;7
Sea of Stars 1.0.48412;Infinite Space III: Sea of Stars;RAWG;2015.0;Sea of Stars rinde homenaje a los JRPGs clásicos. Dos Hijos del Solsticio combinan el poder del sol y la luna para realizar la Magia Eclipse contra el malvado alquimista conocido como El Carnicero de Carne.;https://media.rawg.io/media/screenshots/3d6/3d6cd9197ac34803ed0bc5f616fd05a0.jpg;Adventure, Indie;Digital Eel;Digital Eel;0.0;;infinite-space-iii-sea-of-stars;https://media.rawg.io/media/screenshots/3d6/3d6cd9197ac34803ed0bc5f616fd05a0.jpg;Minimum: OS: Windows XP Processor: 1.8GHz Memory: 2048 MB RAM Graphics: 256MB OpenGL compatible Storage: 500 MB available space Sound Card: 16-bit stereo sound;;;;3
Sekiro - Shadows Die Twice v1.06;Sekiro: Shadows Die Twice;RAWG;2019.0;Sekiro: Shadows Die Twice es un juego sobre un shinobi cuyo señor es secuestrado por un despiadado señor de la guerra en el Japón del período Sengoku. Domina el preciso combate con espada, herramientas de brazo protésico y mecánicas de resurrección en un mundo de mortales mitos.;https://media.rawg.io/media/games/67f/67f62d1f062a6164f57575e0604ee9f6.jpg;Action, RPG;FromSoftware;FromSoftware, Activision Value Publishing, ????;4.38;90.0;shadows-die-twice;https://media.rawg.io/media/games/67f/67f62d1f062a6164f57575e0604ee9f6.jpg;;;;;12
Sengoku Dynasty v1.0.0.9;Sengoku Dynasty;RAWG;2023.0;Sengoku Dynasty mezcla RPG en mundo abierto, construcción de ciudades y supervivencia en el Japón feudal. Construye tu dinastía desde un único asentamiento en el caótico período Sengoku, gestionando ciudadanos, elaborando artesanía y defendiendo tu territorio.;https://media.rawg.io/media/screenshots/7b0/7b0aa0f469eac3c1839207e32226462f.jpg;Adventure, RPG, Simulation;Superkami;Toplitz Productions;3.71;;sengoku-dynasty;https://media.rawg.io/media/screenshots/7b0/7b0aa0f469eac3c1839207e32226462f.jpg;Minimum: OS: Windows 10 (x64) Processor: Intel Core i5-8400, AMD Ryzen 5 2600 Memory: 16 GB RAM Graphics: NVIDIA GeForce GTX 1650, 4 GB or AMD Radeon RX 570, 4 GB or Intel Arc A750, 8 GB DirectX: Version 12 Storage: 20 GB available space;Recommended: OS: Windows 10 (x64) Processor: Intel Core i5-12600K or AMD Ryzen 5 7600X Memory: 24 GB RAM Graphics: NVIDIA GeForce RTX 3060 TI, 8 GB or AMD Radeon RX 6700 XT, 16 GB DirectX: Version 12 Storage: 20 GB available space;;;8
Senuas Saga Hellblade II;Senua's Saga: Hellblade II;RAWG;2024.0;La secuela de Hellblade: Senua's Sacrifice. Senua regresa en un nuevo viaje por la mitología nórdica, confrontando la oscuridad interior y exterior en una impresionante experiencia de acción cinematográfica construida para hardware de próxima generación.;https://media.rawg.io/media/games/b5c/b5ced2e44396160e62ff8d70e3adda71.jpg;Action;Ninja Theory;Microsoft Game Studios;3.95;;senuas-saga-hellblade-ii;https://media.rawg.io/media/games/b5c/b5ced2e44396160e62ff8d70e3adda71.jpg;;;;;43
Shadow of the Tomb Raider v1.0.492;Shadow of the Tomb Raider;RAWG;2018.0;Vive el momento definitorio de Lara Croft cuando se convierte en Tomb Raider. En Shadow of the Tomb Raider, Lara debe dominar una jungla letal, superar abrumadoras tumbas y resistir las fuerzas oscuras en una misión para salvar al mundo.;https://media.rawg.io/media/games/7f6/7f6cd70ba2ad57053b4847c13569f2d8.jpg;Action, Adventure;Eidos Montreal;Square Enix;3.91;78.0;shadow-of-the-tomb-raider;https://media.rawg.io/media/games/7f6/7f6cd70ba2ad57053b4847c13569f2d8.jpg;;;;;24
Sid Meier's Pirates!;Sid Meier's Pirates!;RAWG;2004.0;Sid Meier's Pirates! es un juego de estrategia y aventura de acción, un remake del clásico de 1987. Navega el Caribe como capitán pirata en el siglo XVII, saqueando barcos, cortejando hijas de gobernadores y construyendo tu tripulación.;https://media.rawg.io/media/games/7ca/7ca90d463ea0c0252e7d01afe897ffa8.jpg;Action, Adventure, RPG, Strategy, Simulation, Arcade, Educational, Fighting;Feral Interactive, 2K, Firaxis, 2K China, Full Fat Productions;2K Games, Feral Interactive, Atari;3.96;88.0;pirates-3;https://media.rawg.io/media/games/7ca/7ca90d463ea0c0252e7d01afe897ffa8.jpg;"Minimum: Windows® 98/Me/2000/XP, Pentium® 1.0 GHz or higher, 256 MB RAM, 1.2 GB Free HDD, 64 MB video card* with Hardware T&amp;L support, Windows® 98/Me/2000/XP-compatible sound card*, DirectX® version 9.0b (included) or higher * Indicates device should be compatible with DirectX® version 9.0b or higher.";;;;1
Sid Meiers Civilization VI Digital Deluxe v1 0 12 46;Sid Meier's Civilization V;RAWG;2010.0;En Civilization V, lidera tu civilización elegida desde los albores del tiempo hasta la colonización espacial, superando a líderes rivales mediante diplomacia, cultura, ciencia y poderío militar en un mapa del mundo basado en hexágonos.;https://media.rawg.io/media/games/55e/55ee6432ac2bf224610fa17e4c652107.jpg;Strategy;Aspyr Media, Firaxis;2K Games, Aspyr;4.29;90.0;civilization-v;https://media.rawg.io/media/games/55e/55ee6432ac2bf224610fa17e4c652107.jpg;Minimum: OS: Windows® Vista SP2/ Windows® 7 Processor: Intel Core 2 Duo 1.8 GHz or AMD Athlon X2 64 2.0 GHz Memory: 2GB RAM Graphics:256 MB ATI HD2600 XT or better, 256 MB nVidia 7900 GS or better, or Core i3 or better integrated graphics DirectX®: DirectX® version 9.0c Hard Drive: 8 GB Free Sound: DirectX 9.0c-compatible sound card Note: Optimized for the touch-screen Ultrabook™ device;Recommended: OS: Windows® Vista SP2/ Windows® 7 Processor: 1.8 GHz Quad Core CPU Memory: 4 GB RAM Graphics: 512 MB ATI 4800 series or better, 512 MB nVidia 9800 series or better DirectX®: DirectX® version 11 Hard Drive: 8 GB Free Sound: DirectX 9.0c-compatible sound card Note: Optimized for the touch-screen Ultrabook™ device;;;8
Sifu Deluxe Edition 1.15.5.061;Sifu;RAWG;2022.0;¿Es suficiente una sola vida para dominar el Kung Fu? En Sifu, controlas a un joven estudiante de Kung Fu en un camino de venganza que envejece con cada muerte. Domina las brutales artes marciales en un viaje por los bajos fondos criminales.;https://media.rawg.io/media/games/3a9/3a9ea2db24f879e61fe7b824f5888d2a.jpg;Action, Fighting;Sloclap;Microids, Kepler Interactive, Sloclap;4.07;79.0;sifu;https://media.rawg.io/media/games/3a9/3a9ea2db24f879e61fe7b824f5888d2a.jpg;Minimale : Système d'exploitation et processeur 64 bits nécessaires Système d'exploitation : Windows 8.1 Processeur : AMD FX-4350 or Intel Core i5-3470 or equivalent Mémoire vive : 8 GB de mémoire Graphiques : Radeon R7 250 or GeForce GT 640 or equivalent DirectX : Version 11 Espace disque : 22 GB d'espace disque disponible;Recommandée : Système d'exploitation et processeur 64 bits nécessaires Système d'exploitation : Windows 10 Processeur : AMD FX-9590 or Intel Core i7-6700K or equivalent Mémoire vive : 10 GB de mémoire Graphiques : GeForce GTX 970 or Radeon R9 390X or equivalent DirectX : Version 12 Espace disque : 22 GB d'espace disque disponible;;;8
